"label","strength","document"
Topic 11,0.0707,5376e465443cf702ab00039d
Topic 0,0.0707,5376e465443cf702ab00039d
Topic 11,0.0778,5376e465443cf702ab0003ad
Topic 14,0.0848,5376e465443cf702ab0003ae
Topic 4,0.0881,5376e465443cf702ab0003b3
Topic 15,0.0705,5376e465443cf702ab0003ba
Topic 28,0.0705,5376e465443cf702ab0003bb
Topic 8,0.0881,5376e465443cf702ab0003bd
Topic 0,0.0753,5376e465443cf702ab0003c2
Topic 23,0.0833,5376e465443cf702ab0003c3
Topic 12,0.0881,5376e465443cf702ab0003c6
Topic 5,0.0994,5376e465443cf702ab0003ca
Topic 24,0.0729,5376e465443cf702ab0003cc
Topic 4,0.0729,5376e465443cf702ab0003cc
Topic 5,0.1257,5376e465443cf702ab0003d3
Topic 15,0.0833,5376e465443cf702ab0003d4
Topic 10,0.0705,5376e465443cf702ab0003da
Topic 11,0.0833,5376e465443cf702ab0003fc
Topic 15,0.0819,5376e465443cf702ab000408
Topic 6,0.0914,5376e465443cf702ab000410
Topic 26,0.0753,5376e465443cf702ab000410
Topic 15,0.0881,5376e465443cf702ab000411
Topic 4,0.0705,5376e465443cf702ab000413
Topic 20,0.0753,5376e465443cf702ab000418
Topic 26,0.0741,5376e465443cf702ab000424
Topic 7,0.0741,5376e465443cf702ab000424
Topic 5,0.0765,5376e465443cf702ab00042a
Topic 24,0.0791,5376e465443cf702ab00043a
Topic 27,0.0718,5376e465443cf702ab000441
Topic 10,0.0729,5376e465443cf702ab000445
Topic 0,0.0729,5376e465443cf702ab000445
Topic 8,0.0833,5376e465443cf702ab00044f
Topic 5,0.0914,5376e465443cf702ab000455
Topic 11,0.0778,5376e465443cf702ab00045f
Topic 13,0.0848,5376e465443cf702ab000461
Topic 18,0.0765,5376e465443cf702ab00046c
Topic 28,0.0848,5376e465443cf702ab000475
Topic 5,0.0833,5376e465443cf702ab000476
Topic 23,0.0765,5376e465443cf702ab00047c
Topic 13,0.0707,5376e465443cf702ab0004a3
Topic 24,0.0705,5376e465443cf702ab0004a8
Topic 8,0.0705,5376e465443cf702ab0004aa
Topic 15,0.0705,5376e465443cf702ab0004ba
Topic 25,0.0833,5376e465443cf702ab0004bf
Topic 13,0.0705,5376e465443cf702ab0004c0
Topic 24,0.0848,5376e465443cf702ab0004c6
Topic 2,0.0833,5376e465443cf702ab0004d3
Topic 5,0.0705,5376e465443cf702ab0004d5
Topic 9,0.0705,5376e465443cf702ab0004dd
Topic 16,0.0705,5376e465443cf702ab0004e6
Topic 8,0.0819,5376e465443cf702ab0004e7
Topic 26,0.0791,5376e465443cf702ab0004e9
Topic 5,0.0899,5376e465443cf702ab0004f5
Topic 13,0.0819,5376e465443cf702ab0004f8
Topic 4,0.0881,5376e465443cf702ab00050c
Topic 23,0.0729,5376e465443cf702ab000511
Topic 20,0.0705,5376e465443cf702ab000518
Topic 21,0.0833,5376e465443cf702ab00051a
Topic 17,0.0753,5376e465443cf702ab000525
Topic 4,0.0753,5376e465443cf702ab000525
Topic 19,0.0705,5376e465443cf702ab00052a
Topic 21,0.0914,5376e465443cf702ab00053a
Topic 24,0.0859,5376e465443cf702ab000540
Topic 13,0.0913,5376e465443cf702ab000545
Topic 17,0.0776,5376e465443cf702ab000545
Topic 0,0.0872,5376e465443cf702ab00055b
Topic 1,0.0753,5376e465443cf702ab000562
Topic 26,0.0741,5376e465443cf702ab000566
Topic 14,0.0705,5376e465443cf702ab000571
Topic 29,0.0705,5376e465443cf702ab000579
Topic 10,0.0778,5376e465443cf702ab000588
Topic 12,0.1093,5376e465443cf702ab000592
Topic 4,0.0881,5376e465443cf702ab00059b
Topic 10,0.0729,5376e465443cf702ab0005a6
Topic 12,0.0753,5376e465443cf702ab0005bb
Topic 2,0.0833,5376e465443cf702ab0005bc
Topic 4,0.0901,5376e465443cf702ab0005d1
Topic 7,0.0766,5376e465443cf702ab0005d1
Topic 23,0.0778,5376e465443cf702ab0005dc
Topic 1,0.0791,5376e465443cf702ab0005e9
Topic 29,0.0741,5376e465443cf702ab0005ef
Topic 11,0.0881,5376e465443cf702ab0005fb
Topic 16,0.0848,5376e465443cf702ab000601
Topic 12,0.0833,5376e465443cf702ab000606
Topic 22,0.0960,5376e465443cf702ab000617
Topic 0,0.0705,5376e465443cf702ab00062e
Topic 18,0.0778,5376e465443cf702ab000638
Topic 13,0.0778,5376e465443cf702ab000638
Topic 15,0.1238,5376e465443cf702ab000644
Topic 22,0.0810,5376e465443cf702ab000644
Topic 13,0.0881,5376e465443cf702ab000645
Topic 9,0.0741,5376e465443cf702ab00064b
Topic 26,0.0819,5376e465443cf702ab00064c
Topic 24,0.0881,5376e465443cf702ab00064f
Topic 9,0.0977,5376e465443cf702ab000650
Topic 29,0.0819,5376e465443cf702ab00065b
Topic 12,0.0705,5376e465443cf702ab00065e
Topic 1,0.0718,5376e465443cf702ab00066d
Topic 18,0.0819,5376e465443cf702ab000672
Topic 14,0.0810,5376e465443cf702ab000677
Topic 0,0.0753,5376e465443cf702ab000679
Topic 13,0.0705,5376e465443cf702ab00067d
Topic 28,0.0705,5376e465443cf702ab000683
Topic 8,0.0805,5376e465443cf702ab00068b
Topic 10,0.0855,5376e465443cf702ab00068f
Topic 15,0.0705,5376e465443cf702ab000693
Topic 5,0.0791,5376e465443cf702ab000699
Topic 13,0.0778,5376e465443cf702ab00069a
Topic 29,0.0872,5376e465443cf702ab00069e
Topic 28,0.0718,5376e465443cf702ab0006a6
Topic 18,0.0718,5376e465443cf702ab0006a6
Topic 19,0.0833,5376e465443cf702ab0006a9
Topic 9,0.0885,5376e465443cf702ab0006ab
Topic 14,0.0729,5376e465443cf702ab0006ab
Topic 3,0.0778,5376e465443cf702ab0006ad
Topic 6,0.0833,5376e465443cf702ab0006b3
Topic 19,0.0705,5376e465443cf702ab0006ce
Topic 13,0.0705,5376e465443cf702ab0006db
Topic 27,0.0765,5376e465443cf702ab0006dd
Topic 6,0.0778,5376e465443cf702ab0006f0
Topic 14,0.1026,5376e465443cf702ab0006f7
Topic 21,0.0753,5376e465443cf702ab0006f8
Topic 3,0.0791,5376e465443cf702ab000704
Topic 26,0.0705,5376e465443cf702ab000707
Topic 5,0.0864,5376e465443cf702ab000719
Topic 29,0.0705,5376e465443cf702ab000727
Topic 22,0.0705,5376e465443cf702ab00072c
Topic 19,0.0705,5376e465443cf702ab00072e
Topic 5,0.0705,5376e465443cf702ab000733
Topic 29,0.0939,5376e465443cf702ab00073f
Topic 14,0.0705,5376e465443cf702ab000744
Topic 8,0.0819,5376e465443cf702ab000748
Topic 1,0.0821,5376e465443cf702ab00074c
Topic 28,0.0705,5376e465443cf702ab00074f
Topic 13,0.0864,5376e465443cf702ab000752
Topic 0,0.0952,5376e465443cf702ab000766
Topic 6,0.0810,5376e465443cf702ab000766
Topic 27,0.0819,5376e465443cf702ab000768
Topic 8,0.0705,5376e465443cf702ab000774
Topic 12,0.0952,5376e465443cf702ab000781
Topic 7,0.0810,5376e465443cf702ab000781
Topic 17,0.0977,5376e465443cf702ab000787
Topic 8,0.0805,5376e465443cf702ab000789
Topic 23,0.0833,5376e465443cf702ab00079b
Topic 23,0.0913,5376e465443cf702ab00079e
Topic 20,0.0705,5376e465443cf702ab0007a1
Topic 5,0.0881,5376e465443cf702ab0007bf
Topic 13,0.0778,5376e465443cf702ab0007c1
Topic 7,0.0778,5376e465443cf702ab0007c1
Topic 27,0.0944,5376e465443cf702ab0007ca
Topic 18,0.0705,5376e465443cf702ab0007d1
Topic 14,0.0819,5376e465443cf702ab0007d7
Topic 7,0.0899,5376e465443cf702ab0007d9
